,,,,,,,,,,-89.74964904785156,89.1871337890625,-17.916641235351562,17.825790405273438
0,-8,3,-30,-7,-4,,,-19,0,-22.158950805664062,16.634674072265625,-4.9242095947265625,3.0221710205078125
-5.0,-6.0,9.0,-40.0,-11.0,-12.0,18.0,-21.0,-10.0,-6.0,-20.301071166992188,13.534027099609375,-4.5113525390625,27.34752655029297
-4.0,-2.0,-6.0,-8.0,0.0,2.0,28.0,-23.0,-7.0,-4.0,-11.625778198242188,7.750518798828125,-2.58349609375,24.797042846679688
-2.0,8.0,-7.0,21.0,-1.0,10.0,-3.0,4.0,-5.0,2.0,6.00115966796875,-2.272308349609375,-5.1367645263671875,2.5022125244140625
1.0,11.0,-5.0,35.0,-1.0,13.0,-14.0,35.0,-6.0,0.0,31.538497924804688,-15.87237548828125,-20.430130004882812,-1.5001983642578125
1.0,6.0,-7.0,21.0,2.0,5.0,-27.0,29.0,-1.0,0.0,29.097427368164062,-22.798980712890625,-14.387916564941406,-2.77813720703125
2,-7,4,-2,,,5,1,12,-21,12.634078979492188,-23.305465698242188,13.077308654785156,-4.001678466796875
2,-9,8,-6,,,-3,-6,45,-30,7.8736419677734375,-19.626449584960938,33.81153869628906,-5.961151123046875
0.0,-4.0,2.0,1.0,4.0,10.0,-9.0,-4.0,10.0,-3.0,1.2785186767578125,-4.426177978515625,12.715591430664062,-7.8383331298828125
0,4,-4,8,-5,16,,,-6,15,-11.579666137695312,20.264434814453125,-2.573272705078125,-17.954483032226562
-6,9,-9,8,-13,42,,,-22,46,-19.0682373046875,26.160018920898438,-4.23736572265625,-15.9332275390625
-4,-6,1,-30,-11,-1,,,-21,3,-31.361709594726562,24.268157958984375,-6.96929931640625,6.6595001220703125
-2.0,-2.0,3.0,-19.0,-1.0,8.0,6.0,-9.0,-6.0,-1.0,-18.019577026367188,12.0130615234375,-4.00433349609375,28.206039428710938
-2.0,-4.0,2.0,-31.0,-7.0,-15.0,35.0,-22.0,-6.0,-8.0,-9.404830932617188,6.2874298095703125,-2.150787353515625,21.338592529296875
1.0,3.0,-8.0,24.0,-3.0,8.0,-8.0,13.0,-6.0,2.0,18.819320678710938,-8.401153564453125,-12.776153564453125,-0.7122955322265625
-1.0,13.0,-11.0,45.0,3.0,13.0,-24.0,40.0,-9.0,-1.0,37.99580383300781,-22.675582885742188,-22.6693115234375,-2.4147796630859375
1.0,-3.0,1.0,-4.0,6.0,-36.0,-3.0,0.0,11.0,-19.0,18.07373046875,-22.799163818359375,-1.6206283569335938,-3.28558349609375
2.0,-12.0,3.0,-1.0,18.0,-49.0,-6.0,-3.0,60.0,-41.0,11.123931884765625,-24.81610107421875,32.237098693847656,-5.7096099853515625
17.0,8.0,2.0,0.0,-5.0,0.0,-5.0,-3.0,-6.0,-6.0,3.91229248046875,-11.250625610351562,24.79266357421875,-7.4466094970703125
-12,-9,7,6,11,17,,,7,10,-5.43975830078125,10.061279296875,-1.128326416015625,-11.981430053710938
-1,9,-2,16,-13,44,,,-12,44,-18.878509521484375,28.998550415039062,-4.1952362060546875,-20.316360473632812
-1,4,0,-8,-2,16,,,-20,20,-22.961441040039062,22.43499755859375,-5.1025238037109375,-7.9289093017578125
-3,-21,13,-88,-15,-15,,,-22,-12,-41.504150390625,27.669464111328125,-9.223159790039062,56.73320007324219
-1.0,2.0,-3.0,1.0,0.0,7.0,20.0,-10.0,-3.0,2.0,5.90252685546875,-2.1992950439453125,-5.1875457763671875,2.82427978515625
-1.0,13.0,-6.0,35.0,-2.0,18.0,-1.0,14.0,-8.0,3.0,37.58831787109375,-19.547012329101562,-24.004531860351562,-1.8956451416015625
2.0,17.0,-6.0,47.0,4.0,16.0,-24.0,51.0,-5.0,-2.0,25.269577026367188,-22.394058227539062,-11.076019287109375,-2.8561553955078125
